stn,name,cohort,lat,lon,is_nbcn,elev,elev_diff,mae,bias,crps,mae_ref_raw,mae_ref_corr,skill_raw,skill_corr,z_std,cov90,pit_mean,pit_std,mae_tail,bias_tail,cov90_tail,n_days
EGO,Egolzwil,smn,47.179428,8.004758,False,522.0,-56.287906717680585,0.9375000596046448,0.36380070447921753,0.6885382836380531,1.567916750907898,1.3860132873939917,0.5608578814918861,0.5032238940994167,1.0947874784469604,0.8596851471594799,0.4049905133349764,0.27729559612128374,0.8639605641365051,0.5552898049354553,0.7866666666666666,1461
EIN,Einsiedeln,smn,47.133042,8.756556,False,911.0,-22.42140462529062,1.0894724130630493,0.42787742614746094,0.7689381959280105,1.3633177280426025,1.3178390776340143,0.4359801973440033,0.4165158637513424,0.999609649181366,0.8850102669404517,0.3783105158157892,0.27457261861642496,0.9588706493377686,0.7015140652656555,0.8376623376623377,1461
ELM,Elm,smn,46.923742,9.175347,True,958.0,-1009.9231354375409,1.7071492671966553,0.6893435120582581,1.2634739392687846,6.187723159790039,2.178726406928563,0.7958095560125775,0.4200860028818607,1.5578862428665161,0.7412731006160165,0.4065609016249646,0.3388250379940711,1.1341835260391235,0.3389744162559509,0.7549668874172185,1461
ENG,Engelberg,smn,46.821639,8.410514,True,1036.0,-677.2180216391614,1.5145829916000366,-0.39380016922950745,1.1008791181551638,5.714834213256836,2.2627131743389994,0.8073646448743117,0.5134694354370564,1.3200523853302002,0.7823408624229979,0.5863642082977775,0.3184093260089883,1.260899305343628,-0.930946409702301,0.7210884353741497,1461
EVI,Evionnaz,smn,46.182953,7.026747,False,482.0,-807.3648051807131,1.5179228782653809,0.35796278715133667,1.1410570698582967,6.1848602294921875,2.085149573755334,0.8155080264518793,0.45276967934570556,1.6242526769638062,0.7700205338809035,0.44887316673219085,0.33057506431686884,0.8612396717071533,0.19033291935920715,0.8456375838926175,1461
EVO,Evolène / Villa,smn,46.112211,7.508631,False,1825.0,-375.1933801401574,1.1401947736740112,-0.2626694440841675,0.8107088380107104,6.375496864318848,3.981537370905135,0.8728398969893736,0.7963829640442608,1.083388328552246,0.8761122518822724,0.552139464044579,0.29650827683363806,0.9209821820259094,0.007658212445676327,0.9319727891156463,1461
FAH,Fahy,smn,47.423814,6.941194,False,596.0,56.881701198977794,0.8779435753822327,-0.016476964578032494,0.6353813996174664,1.04777991771698,1.2079295539335995,0.3935926916771735,0.4739913453161577,1.001643419265747,0.9082819986310746,0.5022727046825147,0.2778823117849027,0.8825039267539978,-0.3462796211242676,0.8243243243243243,1461
FLU,"Flühli, LU",smn,46.889436,8.020336,False,940.0,-292.4046603586887,1.1058943271636963,-0.012244134210050106,0.7959657446458284,3.2833354473114014,1.8846887801308627,0.7575740409656849,0.5776672769333508,1.0959253311157227,0.8761122518822724,0.48321289704811143,0.2936851840087214,0.7671002745628357,0.23096388578414917,0.8791946308724832,1461
FRE,Bullet / La Frétaz,smn,46.840622,6.576369,False,1205.0,361.63595259952535,1.07645583152771,0.1852881759405136,0.7728852715370378,2.239753007888794,1.179336220338207,0.6549238827608208,0.34464382742743904,1.0680559873580933,0.8788501026694046,0.4327875834890306,0.2870108867639441,0.9352949857711792,0.40295568108558655,0.84,1461
FRU,Frutigen,smn,46.599003,7.657542,False,756.0,-591.4406023020024,1.398737907409668,0.4459877610206604,1.0442377120862472,5.081009864807129,1.9500621168789112,0.7944822506015966,0.46451053889629046,1.4500253200531006,0.8288843258042436,0.4432299459691879,0.31135501244588487,0.8085471391677856,0.1084430143237114,0.8918918918918919,1461
